week,week_raw,incidencePer100k,geo_insee,geo_name
2025-W41,202541,140,FR,"France"
2025-W40,202540,118,FR,"France"
2025-W39,202539,109,FR,"France"
2025-W38,202538,92,FR,"France"
2025-W37,202537,69,FR,"France"
2025-W36,202536,38,FR,"France"
2025-W35,202535,34,FR,"France"
2025-W34,202534,32,FR,"France"
2025-W33,202533,25,FR,"France"
2025-W32,202532,30,FR,"France"
2025-W31,202531,28,FR,"France"
2025-W30,202530,29,FR,"France"
2025-W29,202529,28,FR,"France"
2025-W28,202528,35,FR,"France"
2025-W27,202527,32,FR,"France"
2025-W26,202526,33,FR,"France"
2025-W25,202525,35,FR,"France"
2025-W24,202524,35,FR,"France"
2025-W23,202523,36,FR,"France"
2025-W22,202522,28,FR,"France"
2025-W21,202521,35,FR,"France"
2025-W20,202520,30,FR,"France"
2025-W19,202519,24,FR,"France"
2025-W18,202518,27,FR,"France"
2025-W17,202517,33,FR,"France"
2025-W16,202516,43,FR,"France"
2025-W15,202515,53,FR,"France"
2025-W14,202514,56,FR,"France"
2025-W13,202513,59,FR,"France"
2025-W12,202512,78,FR,"France"
2025-W11,202511,89,FR,"France"
2025-W10,202510,90,FR,"France"
2025-W09,202509,126,FR,"France"
2025-W08,202508,203,FR,"France"
2025-W07,202507,312,FR,"France"
2025-W06,202506,408,FR,"France"
2025-W05,202505,499,FR,"France"
2025-W04,202504,522,FR,"France"
2025-W03,202503,377,FR,"France"
2025-W02,202502,384,FR,"France"
2025-W01,202501,345,FR,"France"
2024-W52,202452,302,FR,"France"
2024-W51,202451,302,FR,"France"
2024-W50,202450,205,FR,"France"
2024-W49,202449,163,FR,"France"
2024-W48,202448,131,FR,"France"
2024-W47,202447,114,FR,"France"
2024-W46,202446,85,FR,"France"
2024-W45,202445,71,FR,"France"
2024-W44,202444,54,FR,"France"
2024-W43,202443,70,FR,"France"
2024-W42,202442,102,FR,"France"
2024-W41,202441,119,FR,"France"
2024-W40,202440,127,FR,"France"
2024-W39,202439,137,FR,"France"
2024-W38,202438,138,FR,"France"
2024-W37,202437,85,FR,"France"
2024-W36,202436,50,FR,"France"
2024-W35,202435,41,FR,"France"
2024-W34,202434,40,FR,"France"
2024-W33,202433,31,FR,"France"
2024-W32,202432,35,FR,"France"
2024-W31,202431,39,FR,"France"
2024-W30,202430,55,FR,"France"
2024-W29,202429,59,FR,"France"
2024-W28,202428,81,FR,"France"
2024-W27,202427,71,FR,"France"
2024-W26,202426,66,FR,"France"
2024-W25,202425,71,FR,"France"
2024-W24,202424,62,FR,"France"
2024-W23,202423,54,FR,"France"
2024-W22,202422,51,FR,"France"
2024-W21,202421,33,FR,"France"
2024-W20,202420,30,FR,"France"
2024-W19,202419,23,FR,"France"
2024-W18,202418,34,FR,"France"
2024-W17,202417,41,FR,"France"
2024-W16,202416,43,FR,"France"
2024-W15,202415,45,FR,"France"
2024-W14,202414,48,FR,"France"
2024-W13,202413,53,FR,"France"
2024-W12,202412,61,FR,"France"
2024-W11,202411,75,FR,"France"
